pool_id,cif_id,source,n_atoms,n_metal_atoms,metal_fraction,formula_weight,cell_volume,density
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,180,8,0.044444444444444446,3050.9240000000086,46013.37859699093,0.11010229297873941
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,86,2,0.023255813953488372,822.5349700000003,48886.839917954945,0.027939041542098437
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,88,4,0.045454545454545456,987.1074400000014,44800.789371463594,0.036587088978739774
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,118,4,0.03389830508474576,1328.5498385600008,44969.57288190929,0.04905781326069688
qmof__ACISEM_FSR,ACISEM_FSR,qmof,140,4,0.02857142857142857,1490.959040000001,52032.442651638565,0.04758177026583371
qmof__ACOHAE_FSR,ACOHAE_FSR,qmof,96,2,0.020833333333333332,1013.5834400000009,35258.23750612794,0.04773621764520402
qmof__ACOLIP_FSR,ACOLIP_FSR,qmof,102,2,0.0196078431372549,965.6527200000005,41267.821482988715,0.038856038644771766
qmof__ADAPAX_FSR,ADAPAX_FSR,qmof,44,2,0.045454545454545456,452.23869855999965,28170.67938130949,0.026657504997393246
qmof__ADEGIA01_FSR,ADEGIA01_FSR,qmof,80,2,0.025,989.0630000000017,29443.347278584508,0.05578094553207186
qmof__ADETEL_FSR,ADETEL_FSR,qmof,140,4,0.02857142857142857,1446.7459200000008,44615.79746290476,0.053845907867086464
qmof__ADIQAH_FSR,ADIQAH_FSR,qmof,70,2,0.02857142857142857,719.6469599999998,34871.934128047025,0.03426829974075924
qmof__AFAHEW_FSR,AFAHEW_FSR,qmof,107,3,0.028037383177570093,823.8782400000008,53277.450833318755,0.025678443360996513
qmof__AFOLIR_FSR,AFOLIR_FSR,qmof,85,1,0.011764705882352941,789.6920050000003,28420.609760235253,0.04613955984571841
qmof__AFUWIK_FSR,AFUWIK_FSR,qmof,152,4,0.02631578947368421,1638.7387199999998,44488.704679722374,0.06116585511086765
qmof__AGOWUO_FSR,AGOWUO_FSR,qmof,284,4,0.014084507042253521,2125.095360000003,48180.39708316403,0.07324148573203618
qmof__AHAFAR_FSR,AHAFAR_FSR,qmof,176,4,0.022727272727272728,1649.1407000000002,51770.200204161425,0.052896503159552126
qmof__AHAVOV_FSR,AHAVOV_FSR,qmof,120,4,0.03333333333333333,1514.4847999999997,45401.0136688108,0.05539218120804921
qmof__AJEWUH_FSR,AJEWUH_FSR,qmof,74,2,0.02702702702702703,757.9845600000001,39208.24704423627,0.03210199559137493
qmof__AJIFIJ_FSR,AJIFIJ_FSR,qmof,66,4,0.06060606060606061,1017.9925600000017,37007.15526384221,0.04567809666364078
qmof__AJUKOH_FSR,AJUKOH_FSR,qmof,96,2,0.020833333333333332,1010.5419600000009,34435.404785737875,0.04873020699072869
qmof__AJUNOK_FSR,AJUNOK_FSR,qmof,384,8,0.020833333333333332,4534.94687999997,42430.56267539039,0.17747717645901917
qmof__AKAQEI_FSR,AKAQEI_FSR,qmof,80,8,0.1,1224.55648,61825.69228003301,0.03288962564443275
qmof__AKUWOU_FSR,AKUWOU_FSR,qmof,85,3,0.03529411764705882,1135.4946000000011,32593.348023652696,0.05785024422299384
qmof__ALIHIN_FSR,ALIHIN_FSR,qmof,58,2,0.034482758620689655,460.38847999999996,37320.871033771764,0.020484330501311203
qmof__ANAWIX_FSR,ANAWIX_FSR,qmof,88,4,0.045454545454545456,1543.6697312000006,43805.388999509,0.058516176962022944
qmof__ANIDEI_FSR,ANIDEI_FSR,qmof,61,3,0.04918032786885246,1117.887240000001,37915.27065327911,0.04895904478828003
qmof__APASAN_FSR,APASAN_FSR,qmof,60,2,0.03333333333333333,715.7210399999999,46819.930148883075,0.025384120478785743
qmof__APIXIH_FSR,APIXIH_FSR,qmof,36,2,0.05555555555555555,468.00283999999965,43576.94042025355,0.017833675141143073
